Date,Home/Neutral,PTS,PTS.1,Unnamed: 5,Visitor/Neutral,link,no_box
"Mon, Jul 21, 1997",Charlotte Sting,64,75,Box Score,Los Angeles Sparks,/wnba/boxscores/199707210CHA.html,
"Mon, Jul 21, 1997",Sacramento Monarchs,70,57,Box Score,Phoenix Mercury,/wnba/boxscores/199707210SAC.html,
"Tue, Jul 22, 1997",New York Liberty,78,71,Box Score,Utah Starzz,/wnba/boxscores/199707220NYL.html,
"Tue, Jul 22, 1997",Phoenix Mercury,77,69,Box Score,Houston Comets,/wnba/boxscores/199707220PHO.html,
"Wed, Jul 23, 1997",Charlotte Sting,65,63,Box Score,New York Liberty,/wnba/boxscores/199707230CHA.html,
"Wed, Jul 23, 1997",Los Angeles Sparks,89,85,Box Score,Cleveland Rockers,/wnba/boxscores/199707230LAS.html,
"Fri, Jul 25, 1997",Phoenix Mercury,86,83,Box Score,Los Angeles Sparks,/wnba/boxscores/199707250PHO.html,
"Fri, Jul 25, 1997",Sacramento Monarchs,86,76,Box Score,Houston Comets,/wnba/boxscores/199707250SAC.html,
"Sat, Jul 26, 1997",New York Liberty,64,61,Box Score,Charlotte Sting,/wnba/boxscores/199707260NYL.html,
"Sat, Jul 26, 1997",Utah Starzz,77,66,Box Score,Cleveland Rockers,/wnba/boxscores/199707260UTA.html,
"Sun, Jul 27, 1997",Sacramento Monarchs,84,62,Box Score,Los Angeles Sparks,/wnba/boxscores/199707270SAC.html,
"Mon, Jul 28, 1997",Phoenix Mercury,76,64,Box Score,Cleveland Rockers,/wnba/boxscores/199707280PHO.html,
"Tue, Jul 29, 1997",Houston Comets,73,64,Box Score,Cleveland Rockers,/wnba/boxscores/199707290HOU.html,
"Wed, Jul 30, 1997",Charlotte Sting,67,68,Box Score,Phoenix Mercury,/wnba/boxscores/199707300CHA.html,
"Wed, Jul 30, 1997",Los Angeles Sparks,69,91,Box Score,Utah Starzz,/wnba/boxscores/199707300LAS.html,
"Wed, Jul 30, 1997",New York Liberty,68,73,Box Score,Sacramento Monarchs,/wnba/boxscores/199707300NYL.html,
"Thu, Jul 31, 1997",Cleveland Rockers,67,79,Box Score,Phoenix Mercury,/wnba/boxscores/199707310CLE.html,
"Fri, Aug 1, 1997",Charlotte Sting,61,85,Box Score,Sacramento Monarchs,/wnba/boxscores/199708010CHA.html,
"Fri, Aug 1, 1997",Los Angeles Sparks,81,57,Box Score,Houston Comets,/wnba/boxscores/199708010LAS.html,
"Sat, Aug 2, 1997",Cleveland Rockers,51,72,Box Score,Sacramento Monarchs,/wnba/boxscores/199708020CLE.html,
"Sat, Aug 2, 1997",New York Liberty,70,80,Box Score,Phoenix Mercury,/wnba/boxscores/199708020NYL.html,
"Sat, Aug 2, 1997",Utah Starzz,63,74,Box Score,Houston Comets,/wnba/boxscores/199708020UTA.html,
"Sun, Aug 3, 1997",Los Angeles Sparks,77,70,Box Score,Charlotte Sting,/wnba/boxscores/199708030LAS.html,
"Mon, Aug 4, 1997",Phoenix Mercury,60,83,Box Score,Sacramento Monarchs,/wnba/boxscores/199708040PHO.html,
"Mon, Aug 4, 1997",Utah Starzz,70,73,Box Score,Charlotte Sting,/wnba/boxscores/199708040UTA.html,
"Tue, Aug 5, 1997",Cleveland Rockers,76,66,Box Score,Houston Comets,/wnba/boxscores/199708050CLE.html,
"Tue, Aug 5, 1997",New York Liberty,67,50,Box Score,Los Angeles Sparks,/wnba/boxscores/199708050NYL.html,
"Wed, Aug 6, 1997",Phoenix Mercury,46,78,Box Score,Utah Starzz,/wnba/boxscores/199708060PHO.html,
"Wed, Aug 6, 1997",Sacramento Monarchs,64,77,Box Score,Charlotte Sting,/wnba/boxscores/199708060SAC.html,
"Thu, Aug 7, 1997",Cleveland Rockers,87,84,Box Score,Los Angeles Sparks,/wnba/boxscores/199708070CLE.html,
"Thu, Aug 7, 1997",Houston Comets,70,74,Box Score,Phoenix Mercury,/wnba/boxscores/199708070HOU.html,
"Fri, Aug 8, 1997",Sacramento Monarchs,78,93,Box Score,Utah Starzz,/wnba/boxscores/199708080SAC.html,
"Sat, Aug 9, 1997",Charlotte Sting,59,79,Box Score,Phoenix Mercury,/wnba/boxscores/199708090CHA.html,
"Sat, Aug 9, 1997",Houston Comets,71,72,Box Score,Los Angeles Sparks,/wnba/boxscores/199708090HOU.html,
"Sun, Aug 10, 1997",Sacramento Monarchs,69,76,Box Score,New York Liberty,/wnba/boxscores/199708100SAC.html,
"Mon, Aug 11, 1997",Charlotte Sting,72,62,Box Score,Houston Comets,/wnba/boxscores/199708110CHA.html,
"Mon, Aug 11, 1997",Utah Starzz,74,59,Box Score,Cleveland Rockers,/wnba/boxscores/199708110UTA.html,
"Tue, Aug 12, 1997",Houston Comets,56,76,Box Score,Utah Starzz,/wnba/boxscores/199708120HOU.html,
"Tue, Aug 12, 1997",Phoenix Mercury,67,77,Box Score,New York Liberty,/wnba/boxscores/199708120PHO.html,
"Tue, Aug 12, 1997",Sacramento Monarchs,76,81,Box Score,Cleveland Rockers,/wnba/boxscores/199708120SAC.html,
"Thu, Aug 14, 1997",Charlotte Sting,51,68,Box Score,Sacramento Monarchs,/wnba/boxscores/199708140CHA.html,
"Thu, Aug 14, 1997",Phoenix Mercury,55,61,Box Score,Cleveland Rockers,/wnba/boxscores/199708140PHO.html,
"Fri, Aug 15, 1997",New York Liberty,63,79,Box Score,Sacramento Monarchs,/wnba/boxscores/199708150NYL.html,
"Sat, Aug 16, 1997",Charlotte Sting,71,80,Box Score,Houston Comets,/wnba/boxscores/199708160CHA.html,
"Sat, Aug 16, 1997",Utah Starzz,74,64,Box Score,Los Angeles Sparks,/wnba/boxscores/199708160UTA.html,
"Sun, Aug 17, 1997",Cleveland Rockers,49,81,Box Score,Charlotte Sting,/wnba/boxscores/199708170CLE.html,
"Sun, Aug 17, 1997",New York Liberty,70,55,Box Score,Houston Comets,/wnba/boxscores/199708170NYL.html,
"Sun, Aug 17, 1997",Phoenix Mercury,63,71,Box Score,Utah Starzz,/wnba/boxscores/199708170PHO.html,
"Mon, Aug 18, 1997",Los Angeles Sparks,66,75,Box Score,Phoenix Mercury,/wnba/boxscores/199708180LAS.html,
"Tue, Aug 19, 1997",Houston Comets,69,77,Box Score,Charlotte Sting,/wnba/boxscores/199708190HOU.html,
"Tue, Aug 19, 1997",Utah Starzz,75,81,Box Score,New York Liberty,/wnba/boxscores/199708190UTA.html,
"Wed, Aug 20, 1997",Los Angeles Sparks,76,78,Box Score,New York Liberty,/wnba/boxscores/199708200LAS.html,
"Wed, Aug 20, 1997",Sacramento Monarchs,69,54,Box Score,Phoenix Mercury,/wnba/boxscores/199708200SAC.html,
"Thu, Aug 21, 1997",Houston Comets,76,75,Box Score,Cleveland Rockers,/wnba/boxscores/199708210HOU.html,
"Thu, Aug 21, 1997",Utah Starzz,66,56,Box Score,Charlotte Sting,/wnba/boxscores/199708210UTA.html,
"Fri, Aug 22, 1997",Los Angeles Sparks,77,88,Box Score,Sacramento Monarchs,/wnba/boxscores/199708220LAS.html,
"Fri, Aug 22, 1997",Phoenix Mercury,63,78,Box Score,Charlotte Sting,/wnba/boxscores/199708220PHO.html,
"Sat, Aug 23, 1997",Cleveland Rockers,71,72,Box Score,New York Liberty,/wnba/boxscores/199708230CLE.html,
"Sun, Aug 24, 1997",Charlotte Sting,52,70,Box Score,Utah Starzz,/wnba/boxscores/199708240CHA.html,
"Sun, Aug 24, 1997",Houston Comets,68,58,Box Score,Sacramento Monarchs,/wnba/boxscores/199708240HOU.html,
