,date,team1,team1_odds,team1_score,team2,team2_odds,team2_score
2418,2019-06-22,Connecticut Sun,-1000,86,Atlanta Dream,594,76
2419,2019-06-21,Las Vegas Aces,-172,72,Washington Mystics,139,95
2420,2019-06-21,Dallas Wings,212,69,Phoenix Mercury,-270,54
2421,2019-06-20,New York Liberty,-132,83,Chicago Sky,106,91
2422,2019-06-19,Atlanta Dream,-108,88,Indiana Fever,-112,78
2423,2019-06-19,Los Angeles Sparks,-127,52,Washington Mystics,102,81
2424,2019-06-17,Minnesota Lynx,204,75,Las Vegas Aces,-256,80
2425,2019-06-16,Connecticut Sun,-455,81,Seattle Storm,338,67
2426,2019-06-16,Los Angeles Sparks,-714,92,New York Liberty,468,98
2427,2019-06-16,Dallas Wings,145,71,Atlanta Dream,-179,61
2428,2019-06-16,Indiana Fever,-179,64,Chicago Sky,143,70
2429,2019-06-15,Las Vegas Aces,-1000,100,New York Liberty,614,65
2430,2019-06-15,Phoenix Mercury,-167,68,Los Angeles Sparks,135,85
2431,2019-06-15,Minnesota Lynx,202,81,Connecticut Sun,-256,85
2432,2019-06-15,Washington Mystics,-526,71,Seattle Storm,365,74
2433,2019-06-14,Dallas Wings,123,72,Indiana Fever,-154,76
2434,2019-06-13,New York Liberty,127,75,Minnesota Lynx,-156,69
2435,2019-06-12,Chicago Sky,152,82,Phoenix Mercury,-189,75
2436,2019-06-12,Connecticut Sun,-161,83,Washington Mystics,131,75
2437,2019-06-12,Indiana Fever,-123,82,Seattle Storm,100,84
2438,2019-06-09,Chicago Sky,104,78,Seattle Storm,-128,71
2439,2019-06-09,Indiana Fever,127,87,Phoenix Mercury,-154,94
2440,2019-06-09,Atlanta Dream,231,59,Connecticut Sun,-294,65
2441,2019-06-09,New York Liberty,451,88,Las Vegas Aces,-667,78
2442,2019-06-09,Washington Mystics,-1250,86,Dallas Wings,721,62
2443,2019-06-08,Minnesota Lynx,-200,85,Los Angeles Sparks,160,89
2444,2019-06-08,New York Liberty,365,85,Washington Mystics,-526,94
2445,2019-06-08,Indiana Fever,-238,79,Dallas Wings,188,64
2446,2019-06-07,Minnesota Lynx,-133,58,Phoenix Mercury,108,56
2447,2019-06-07,Atlanta Dream,163,69,Las Vegas Aces,-204,92
2448,2019-06-07,Connecticut Sun,-333,89,Los Angeles Sparks,254,77
2449,2019-06-06,Washington Mystics,-909,103,Chicago Sky,542,85
2450,2019-06-05,Seattle Storm,-127,84,Minnesota Lynx,102,77
2451,2019-06-04,New York Liberty,160,73,Los Angeles Sparks,-200,78
2452,2019-06-02,Las Vegas Aces,-222,74,Connecticut Sun,175,80
2453,2019-06-02,Chicago Sky,-147,83,Seattle Storm,120,79
2454,2019-06-02,Dallas Wings,139,67,Minnesota Lynx,-169,70
2455,2019-06-02,Indiana Fever,-164,92,New York Liberty,133,77
2456,2019-06-02,Washington Mystics,-417,96,Atlanta Dream,309,75
2457,2019-06-01,Los Angeles Sparks,121,77,Connecticut Sun,-152,70
2458,2019-06-01,Phoenix Mercury,112,86,Las Vegas Aces,-139,84
2459,2019-06-01,Atlanta Dream,-294,66,Seattle Storm,229,82
2460,2019-05-30,Minnesota Lynx,-200,72,Seattle Storm,158,61
2461,2019-05-29,Connecticut Sun,-526,88,Indiana Fever,368,77
2462,2019-05-27,Las Vegas Aces,-143,83,Los Angeles Sparks,114,70
2463,2019-05-26,Minnesota Lynx,-185,89,Chicago Sky,148,71
2464,2019-05-26,Connecticut Sun,-250,84,Washington Mystics,197,69
2465,2019-05-25,Seattle Storm,149,77,Phoenix Mercury,-185,68
2466,2019-05-25,New York Liberty,-161,80,Indiana Fever,129,81
2467,2019-05-25,Atlanta Dream,-625,76,Dallas Wings,415,72
2468,2019-05-19,Las Vegas Aces,-156,75,Minnesota Lynx,118,79
2469,2019-05-19,Dallas Wings,-152,66,Indiana Fever,114,71
2470,2019-05-19,New York Liberty,227,79,Connecticut Sun,-323,98
2471,2019-05-18,Los Angeles Sparks,-175,92,Seattle Storm,133,85
2472,2019-05-18,Atlanta Dream,114,64,Washington Mystics,-152,75
2473,2019-05-16,Indiana Fever,-147,76,Chicago Sky,112,65
2474,2019-05-16,Seattle Storm,116,84,Phoenix Mercury,-152,87
2475,2019-05-15,Connecticut Sun,-476,67,Dallas Wings,328,71
2476,2019-05-14,Atlanta Dream,-345,92,New York Liberty,254,87
2477,2019-05-14,Chicago Sky,-204,58,Indiana Fever,152,69
2478,2019-05-14,Connecticut Sun,-303,100,New York Liberty,218,66
2479,2019-05-13,Atlanta Dream,-217,82,Dallas Wings,161,59
2480,2019-05-12,Phoenix Mercury,-156,82,Los Angeles Sparks,116,75
2481,2020-10-07,Seattle Storm,-333,92,Las Vegas Aces,250,59
2482,2020-10-04,Las Vegas Aces,241,91,Seattle Storm,-323,104
2483,2020-10-03,Las Vegas Aces,200,80,Seattle Storm,-263,93
2484,2020-09-30,Las Vegas Aces,-156,66,Connecticut Sun,122,63
2485,2020-09-27,Minnesota Lynx,286,71,Seattle Storm,-400,92
2486,2020-09-27,Connecticut Sun,129,75,Las Vegas Aces,-161,84
2487,2020-09-25,Connecticut Sun,220,77,Las Vegas Aces,-294,68
2488,2020-09-25,Seattle Storm,-385,89,Minnesota Lynx,278,79
2489,2020-09-23,Seattle Storm,-455,88,Minnesota Lynx,317,86
2490,2020-09-23,Las Vegas Aces,-250,83,Connecticut Sun,190,75
2491,2020-09-20,Las Vegas Aces,-270,62,Connecticut Sun,206,87
2492,2020-09-18,Los Angeles Sparks,-227,59,Connecticut Sun,175,73
2493,2020-09-18,Minnesota Lynx,-200,80,Phoenix Mercury,156,79
2494,2020-09-16,Phoenix Mercury,-217,85,Washington Mystics,166,84
2495,2020-09-16,Chicago Sky,-127,81,Connecticut Sun,100,94
2496,2020-09-13,Atlanta Dream,189,78,Washington Mystics,-238,85
2497,2020-09-13,Seattle Storm,104,84,Las Vegas Aces,-130,86
2498,2020-09-13,New York Liberty,397,79,Dallas Wings,-556,82
2499,2020-09-12,Indiana Fever,191,86,Minnesota Lynx,-244,98
2500,2020-09-12,Los Angeles Sparks,143,70,Las Vegas Aces,-179,84
2501,2020-09-12,New York Liberty,261,58,Washington Mystics,-357,75
2502,2020-09-12,Phoenix Mercury,159,60,Seattle Storm,-204,83
2503,2020-09-12,Dallas Wings,179,88,Chicago Sky,-233,95
2504,2020-09-12,Connecticut Sun,-133,75,Atlanta Dream,106,82
2505,2020-09-11,Los Angeles Sparks,-357,72,Washington Mystics,263,80
2506,2020-09-11,Minnesota Lynx,181,89,Las Vegas Aces,-238,104
2507,2020-09-11,Indiana Fever,-256,85,New York Liberty,199,75
2508,2020-09-10,Phoenix Mercury,0,0,Connecticut Sun,0,0
2509,2020-09-10,Seattle Storm,-1000,107,Dallas Wings,601,95
2510,2020-09-10,Chicago Sky,-345,89,Atlanta Dream,260,97
2511,2020-09-10,Connecticut Sun,136,95,Phoenix Mercury,-172,100
2512,2020-09-09,Las Vegas Aces,-1250,92,Indiana Fever,689,86
2513,2020-09-09,Washington Mystics,288,89,Minnesota Lynx,-385,86
2514,2020-09-09,New York Liberty,641,70,Los Angeles Sparks,-1111,96
2515,2020-09-07,Phoenix Mercury,-143,70,Connecticut Sun,114,85
2516,2020-09-07,Los Angeles Sparks,-238,86,Chicago Sky,184,80
2517,2020-09-06,Minnesota Lynx,238,88,Seattle Storm,-312,103
2518,2020-09-06,Washington Mystics,-114,94,Dallas Wings,-109,101
2519,2020-09-06,Phoenix Mercury,-909,83,New York Liberty,571,67
2520,2020-09-05,Atlanta Dream,448,79,Las Vegas Aces,-667,89
2521,2020-09-05,Indiana Fever,231,77,Connecticut Sun,-303,96
2522,2020-09-05,Los Angeles Sparks,213,89,Seattle Storm,-278,90
2523,2020-09-05,Dallas Wings,150,75,Minnesota Lynx,-189,88
2524,2020-09-05,Washington Mystics,297,79,Chicago Sky,-400,69
2525,2020-09-04,Phoenix Mercury,-323,105,Indiana Fever,245,81
2526,2020-09-04,Connecticut Sun,301,78,Las Vegas Aces,-417,93
2527,2020-09-03,New York Liberty,227,56,Atlanta Dream,-303,62
2528,2020-09-03,Seattle Storm,-1429,71,Washington Mystics,714,64
2529,2020-09-03,Dallas Wings,234,83,Los Angeles Sparks,-303,91
2530,2020-09-03,Chicago Sky,-164,83,Minnesota Lynx,129,86
2531,2020-09-02,Las Vegas Aces,-400,85,Phoenix Mercury,292,92
2532,2020-09-02,Atlanta Dream,-127,102,Indiana Fever,100,90
2533,2020-09-02,New York Liberty,504,65,Connecticut Sun,-769,70
2534,2020-09-01,Minnesota Lynx,198,96,Los Angeles Sparks,-256,78
2535,2020-08-31,Indiana Fever,265,77,Chicago Sky,-357,100
2536,2020-08-31,Los Angeles Sparks,-1111,84,Atlanta Dream,639,79
2537,2020-08-30,Minnesota Lynx,-204,79,Phoenix Mercury,161,83
2538,2020-08-30,Washington Mystics,211,63,Connecticut Sun,-270,76
2539,2020-08-29,Indiana Fever,102,78,Dallas Wings,-128,82
2540,2020-08-29,Chicago Sky,202,74,Seattle Storm,-263,88
2541,2020-08-29,Las Vegas Aces,-2000,80,New York Liberty,910,63
2542,2020-08-29,Phoenix Mercury,-141,94,Washington Mystics,112,72
2543,2020-08-29,Connecticut Sun,179,76,Los Angeles Sparks,-233,80
2544,2020-08-29,Atlanta Dream,254,79,Minnesota Lynx,-333,88
2545,2020-08-27,Minnesota Lynx,0,0,Los Angeles Sparks,0,0
2546,2020-08-26,Seattle Storm,-1250,87,Indiana Fever,707,74
2547,2020-08-26,Dallas Wings,375,92,Las Vegas Aces,-526,96
2548,2020-08-26,Chicago Sky,-3333,99,New York Liberty,1148,101
2549,2020-08-24,Washington Mystics,162,87,Phoenix Mercury,-204,88
2550,2020-08-23,Los Angeles Sparks,-625,84,Dallas Wings,422,81
2551,2020-08-23,Minnesota Lynx,-667,75,Atlanta Dream,450,78
2552,2020-08-23,Connecticut Sun,-909,82,New York Liberty,546,65
2553,2020-08-22,Chicago Sky,-476,87,Indiana Fever,334,76
2554,2020-08-22,Las Vegas Aces,168,82,Seattle Storm,-217,74
2555,2020-08-22,Phoenix Mercury,-133,80,Minnesota Lynx,106,90
2556,2020-08-22,Dallas Wings,-164,101,Washington Mystics,131,92
2557,2020-08-22,Atlanta Dream,763,85,Los Angeles Sparks,-1429,93
2558,2020-08-21,Las Vegas Aces,-294,99,Connecticut Sun,227,78
2559,2020-08-21,Indiana Fever,908,90,Seattle Storm,-2000,84
2560,2020-08-21,New York Liberty,784,85,Chicago Sky,-1429,101
2561,2020-08-20,Los Angeles Sparks,-250,83,Phoenix Mercury,195,74
2562,2020-08-20,Minnesota Lynx,-256,91,Dallas Wings,200,84
2563,2020-08-20,Washington Mystics,-312,98,Atlanta Dream,243,91
2564,2020-08-19,Seattle Storm,-3333,105,New York Liberty,1184,64
2565,2020-08-19,Chicago Sky,149,84,Las Vegas Aces,-185,82
2566,2020-08-19,Connecticut Sun,-227,84,Indiana Fever,179,62
2567,2020-08-16,Atlanta Dream,433,67,Chicago Sky,-625,92
2568,2020-08-16,Connecticut Sun,365,72,Seattle Storm,-500,95
2569,2020-08-16,Phoenix Mercury,-455,89,Dallas Wings,336,95
2570,2020-08-15,Minnesota Lynx,-385,94,New York Liberty,289,64
2571,2020-08-15,Indiana Fever,272,76,Los Angeles Sparks,-357,90
2572,2020-08-15,Las Vegas Aces,-476,88,Washington Mystics,340,73
2573,2020-08-15,Phoenix Mercury,-476,96,Atlanta Dream,338,80
2574,2020-08-15,Dallas Wings,674,65,Seattle Storm,-1111,83
2575,2020-08-15,Chicago Sky,-250,74,Connecticut Sun,193,77
2576,2020-08-14,Las Vegas Aces,-149,87,Minnesota Lynx,125,77
2577,2020-08-14,Washington Mystics,258,64,Los Angeles Sparks,-333,81
2578,2020-08-13,New York Liberty,229,79,Indiana Fever,-294,86
2579,2020-08-13,Seattle Storm,-1250,100,Atlanta Dream,678,63
2580,2020-08-13,Chicago Sky,-222,89,Phoenix Mercury,175,71
2581,2020-08-13,Connecticut Sun,-196,70,Dallas Wings,156,66
2582,2020-08-12,Los Angeles Sparks,-909,93,New York Liberty,575,78
2583,2020-08-12,Minnesota Lynx,-101,68,Washington Mystics,-123,48
2584,2020-08-12,Indiana Fever,215,79,Las Vegas Aces,-278,98
2585,2020-08-11,Seattle Storm,-208,89,Chicago Sky,164,71
2586,2020-08-11,Dallas Wings,152,79,Phoenix Mercury,-189,91
2587,2020-08-10,Atlanta Dream,160,82,Connecticut Sun,-200,93
2588,2020-08-10,Indiana Fever,143,91,Washington Mystics,-175,84
2589,2020-08-09,New York Liberty,585,76,Las Vegas Aces,-909,78
2590,2020-08-09,Los Angeles Sparks,-294,97,Minnesota Lynx,235,81
2591,2020-08-08,Connecticut Sun,114,93,Chicago Sky,-141,100
2592,2020-08-08,Seattle Storm,-222,74,Phoenix Mercury,175,68
2593,2020-08-08,Dallas Wings,-128,85,Atlanta Dream,104,75
2594,2020-08-08,Las Vegas Aces,-208,86,Los Angeles Sparks,164,82
2595,2020-08-08,Washington Mystics,-2000,66,New York Liberty,894,74
2596,2020-08-07,Minnesota Lynx,-238,87,Indiana Fever,186,80
2597,2020-08-07,Phoenix Mercury,162,96,Chicago Sky,-204,86
2598,2020-08-07,Dallas Wings,145,68,Connecticut Sun,-179,91
2599,2020-08-06,Atlanta Dream,448,92,Seattle Storm,-667,93
2600,2020-08-06,Los Angeles Sparks,-370,86,Indiana Fever,277,75
2601,2020-08-06,Washington Mystics,-145,77,Las Vegas Aces,117,83
2602,2020-08-06,New York Liberty,221,66,Minnesota Lynx,-286,92
2603,2020-08-05,Seattle Storm,-526,87,Connecticut Sun,375,74
2604,2020-08-05,Atlanta Dream,216,74,Phoenix Mercury,-278,81
2605,2020-08-04,Chicago Sky,-294,82,Dallas Wings,229,79
2606,2020-08-02,Las Vegas Aces,-323,79,Dallas Wings,250,70
2607,2020-08-02,Indiana Fever,-103,93,Atlanta Dream,-118,77
2608,2020-08-02,New York Liberty,418,67,Phoenix Mercury,-588,96
2609,2020-08-02,Seattle Storm,-200,81,Los Angeles Sparks,158,75
2610,2020-08-01,Chicago Sky,156,88,Washington Mystics,-196,86
2611,2020-08-01,Connecticut Sun,-172,69,Minnesota Lynx,138,78
2612,2020-08-01,Phoenix Mercury,234,102,Las Vegas Aces,-303,95
2613,2020-08-01,Dallas Wings,-143,76,Indiana Fever,114,73
2614,2020-08-01,Atlanta Dream,-227,84,New York Liberty,179,78
2615,2020-07-31,Los Angeles Sparks,-294,81,Connecticut Sun,229,76
2616,2020-07-31,Minnesota Lynx,175,83,Chicago Sky,-217,81
2617,2020-07-30,Washington Mystics,260,89,Seattle Storm,-323,71
2618,2020-07-30,Las Vegas Aces,-370,100,Atlanta Dream,280,70
2619,2020-07-30,Dallas Wings,-208,93,New York Liberty,169,80
2620,2020-07-30,Indiana Fever,175,106,Phoenix Mercury,-222,100
2621,2020-07-29,Seattle Storm,-455,90,Minnesota Lynx,340,66
2622,2020-07-29,Chicago Sky,177,96,Los Angeles Sparks,-227,78
2623,2020-07-29,Connecticut Sun,129,89,Washington Mystics,-159,94
2624,2020-07-26,Atlanta Dream,179,105,Dallas Wings,-227,95
2625,2020-07-26,Las Vegas Aces,133,86,Chicago Sky,-164,88
2626,2020-07-26,Minnesota Lynx,124,77,Connecticut Sun,-152,69
2627,2020-07-25,Washington Mystics,-106,101,Indiana Fever,-115,76
2628,2020-07-25,Phoenix Mercury,136,76,Los Angeles Sparks,-169,99
2629,2020-07-25,New York Liberty,752,71,Seattle Storm,-1250,87
