,date,team1,team1_odds,team1_score,team2,team2_odds,team2_score
2134,2018-07-04,Dallas Wings,-286,108,Chicago Sky,224,85
2135,2018-07-04,Minnesota Lynx,-1429,59,Indiana Fever,805,71
2136,2018-07-04,New York Liberty,158,62,Seattle Storm,-196,77
2137,2018-07-02,Seattle Storm,-213,84,Connecticut Sun,173,70
2138,2018-07-01,Chicago Sky,-147,94,New York Liberty,125,97
2139,2018-07-01,Indiana Fever,134,83,Atlanta Dream,-159,87
2140,2018-07-01,Los Angeles Sparks,-833,87,Las Vegas Aces,554,71
2141,2018-07-01,Dallas Wings,135,72,Minnesota Lynx,-164,76
2142,2018-07-01,Washington Mystics,-161,74,Phoenix Mercury,134,84
2143,2018-06-30,Las Vegas Aces,245,94,Los Angeles Sparks,-312,78
2144,2018-06-30,Minnesota Lynx,-909,85,Atlanta Dream,592,74
2145,2018-06-30,New York Liberty,-175,99,Chicago Sky,145,103
2146,2018-06-30,Indiana Fever,263,77,Phoenix Mercury,-345,95
2147,2018-06-29,Seattle Storm,-145,81,Los Angeles Sparks,121,72
2148,2018-06-29,Washington Mystics,-476,80,New York Liberty,350,77
2149,2018-06-28,Las Vegas Aces,106,91,Dallas Wings,-130,97
2150,2018-06-28,Connecticut Sun,-667,101,Indiana Fever,467,89
2151,2018-06-27,Chicago Sky,-137,93,Atlanta Dream,114,80
2152,2018-06-27,Los Angeles Sparks,-500,87,Dallas Wings,362,83
2153,2018-06-27,Minnesota Lynx,-323,91,Seattle Storm,254,79
2154,2018-06-27,New York Liberty,137,69,Phoenix Mercury,-169,83
2155,2018-06-27,Washington Mystics,-169,92,Connecticut Sun,140,80
2156,2018-06-24,Chicago Sky,233,97,Phoenix Mercury,-294,88
2157,2018-06-24,Indiana Fever,315,78,Connecticut Sun,-417,87
2158,2018-06-24,Las Vegas Aces,241,73,Minnesota Lynx,-303,88
2159,2018-06-24,Los Angeles Sparks,-625,80,New York Liberty,442,54
2160,2018-06-24,Dallas Wings,-135,76,Seattle Storm,112,97
2161,2018-06-23,Las Vegas Aces,100,88,New York Liberty,-122,78
2162,2018-06-23,Phoenix Mercury,-145,72,Minnesota Lynx,119,83
2163,2018-06-23,Seattle Storm,-909,72,Indiana Fever,593,63
2164,2018-06-23,Chicago Sky,209,77,Washington Mystics,-263,93
2165,2018-06-23,Dallas Wings,161,101,Los Angeles Sparks,-200,72
2166,2018-06-23,Atlanta Dream,206,75,Connecticut Sun,-256,70
2167,2018-06-20,Los Angeles Sparks,-909,74,Indiana Fever,613,55
2168,2018-06-20,Seattle Storm,-625,77,Las Vegas Aces,450,89
2169,2018-06-20,Minnesota Lynx,-417,91,Dallas Wings,315,83
2170,2018-06-20,New York Liberty,-270,79,Atlanta Dream,214,72
2171,2018-06-20,Washington Mystics,-526,88,Chicago Sky,376,60
2172,2018-06-18,Las Vegas Aces,236,80,Phoenix Mercury,-303,92
2173,2018-06-17,Chicago Sky,349,72,Los Angeles Sparks,-455,81
2174,2018-06-17,Phoenix Mercury,-244,89,Connecticut Sun,197,72
2175,2018-06-17,Minnesota Lynx,-323,85,New York Liberty,250,71
2176,2018-06-17,Indiana Fever,150,96,Atlanta Dream,-185,64
2177,2018-06-16,Seattle Storm,-123,103,Connecticut Sun,102,92
2178,2018-06-16,Dallas Wings,-385,77,Las Vegas Aces,295,67
2179,2018-06-16,Washington Mystics,156,86,Los Angeles Sparks,-192,97
2180,2018-06-14,Atlanta Dream,-455,72,Indiana Fever,337,67
2181,2018-06-14,Connecticut Sun,-526,91,Washington Mystics,376,95
2182,2018-06-14,New York Liberty,-625,63,Las Vegas Aces,436,78
2183,2018-06-13,Los Angeles Sparks,-400,72,Atlanta Dream,299,64
2184,2018-06-13,Seattle Storm,-625,96,Chicago Sky,450,85
2185,2018-06-13,Dallas Wings,-122,72,Phoenix Mercury,100,75
2186,2018-06-13,Indiana Fever,-179,92,Las Vegas Aces,147,101
2187,2018-06-11,Seattle Storm,-385,64,Atlanta Dream,292,67
2188,2018-06-10,Phoenix Mercury,-1111,72,Las Vegas Aces,663,66
2189,2018-06-10,Los Angeles Sparks,-1429,77,Chicago Sky,776,59
2190,2018-06-10,New York Liberty,-588,78,Indiana Fever,430,75
2191,2018-06-09,Connecticut Sun,-238,89,Minnesota Lynx,190,75
2192,2018-06-09,Phoenix Mercury,-500,96,Chicago Sky,359,79
2193,2018-06-09,Indiana Fever,241,83,Dallas Wings,-312,89
2194,2018-06-08,Las Vegas Aces,165,83,Atlanta Dream,-204,87
2195,2018-06-08,Los Angeles Sparks,-370,63,Seattle Storm,284,88
2196,2018-06-08,New York Liberty,198,86,Connecticut Sun,-250,88
2197,2018-06-07,Washington Mystics,171,80,Minnesota Lynx,-213,88
2198,2018-06-06,Atlanta Dream,243,82,Connecticut Sun,-312,77
2199,2018-06-05,New York Liberty,-152,74,Phoenix Mercury,125,80
2200,2018-06-03,Chicago Sky,-213,95,Las Vegas Aces,175,90
2201,2018-06-03,Los Angeles Sparks,-250,77,Minnesota Lynx,204,69
2202,2018-06-03,Atlanta Dream,-127,71,Phoenix Mercury,108,78
2203,2018-06-03,Washington Mystics,225,64,Connecticut Sun,-278,88
2204,2018-06-03,Dallas Wings,-154,94,Seattle Storm,131,90
2205,2018-06-03,Indiana Fever,186,81,New York Liberty,-227,87
2206,2018-06-02,Las Vegas Aces,270,85,Washington Mystics,-357,73
2207,2018-06-02,Chicago Sky,346,72,Connecticut Sun,-476,110
2208,2018-06-02,Minnesota Lynx,-417,85,Phoenix Mercury,315,95
2209,2018-06-01,Seattle Storm,-714,101,Las Vegas Aces,497,74
2210,2018-05-31,Phoenix Mercury,-435,95,Washington Mystics,321,103
2211,2018-05-30,Seattle Storm,-333,81,Washington Mystics,257,77
2212,2018-05-30,Atlanta Dream,209,76,Minnesota Lynx,-256,74
2213,2018-05-30,New York Liberty,-143,94,Dallas Wings,121,89
2214,2018-05-28,Las Vegas Aces,220,98,Seattle Storm,-278,105
2215,2018-05-27,Los Angeles Sparks,-400,80,Phoenix Mercury,305,72
2216,2018-05-27,Washington Mystics,179,90,Minnesota Lynx,-217,78
2217,2018-05-27,Connecticut Sun,-2500,86,Indiana Fever,1087,77
2218,2018-05-26,Atlanta Dream,-185,70,Dallas Wings,152,78
2219,2018-05-26,Seattle Storm,-588,95,Chicago Sky,419,91
2220,2018-05-26,New York Liberty,250,72,Minnesota Lynx,-323,78
2221,2018-05-25,Connecticut Sun,-175,102,Los Angeles Sparks,145,94
2222,2018-05-25,Indiana Fever,175,84,Washington Mystics,-217,93
2223,2018-05-24,Phoenix Mercury,-244,71,Seattle Storm,200,87
2224,2018-05-24,Minnesota Lynx,-1000,76,Dallas Wings,639,68
2225,2018-05-23,Chicago Sky,102,63,Atlanta Dream,-123,81
2226,2018-05-23,Indiana Fever,319,70,Los Angeles Sparks,-417,87
2227,2018-05-23,Washington Mystics,-3333,75,Las Vegas Aces,1247,70
2228,2018-05-21,Seattle Storm,-137,82,Phoenix Mercury,116,87
2229,2018-05-21,Chicago Sky,246,80,New York Liberty,-312,76
2230,2018-05-20,Minnesota Lynx,-333,76,Los Angeles Sparks,265,77
2231,2018-05-20,Dallas Wings,-182,101,Atlanta Dream,154,78
2232,2018-05-20,Connecticut Sun,-5000,101,Las Vegas Aces,1504,65
2233,2018-05-20,Washington Mystics,-1000,82,Indiana Fever,658,75
2234,2018-05-19,Indiana Fever,-132,64,Chicago Sky,108,82
2235,2018-05-19,Phoenix Mercury,-250,86,Dallas Wings,200,78
2236,2018-05-13,Dallas Wings,-227,68,Las Vegas Aces,173,55
2237,2018-05-13,Phoenix Mercury,-189,61,Seattle Storm,148,84
2238,2018-05-13,Minnesota Lynx,-270,87,Chicago Sky,200,58
2239,2018-05-13,Washington Mystics,-250,91,Indiana Fever,190,56
2240,2018-05-12,Connecticut Sun,-156,74,Atlanta Dream,120,58
2241,2018-05-09,Connecticut Sun,-125,79,Dallas Wings,-104,58
2242,2018-05-08,New York Liberty,102,81,Los Angeles Sparks,-132,75
2243,2018-05-08,Seattle Storm,-233,73,Phoenix Mercury,170,69
2244,2018-05-08,Connecticut Sun,-192,68,Los Angeles Sparks,154,65
2245,2018-05-07,New York Liberty,-119,69,Dallas Wings,-108,76
2246,2018-05-07,Indiana Fever,-104,79,Chicago Sky,-125,65
2247,2018-05-06,Chicago Sky,-130,61,Atlanta Dream,100,78
2248,2019-10-11,Washington Mystics,-303,89,Connecticut Sun,231,78
2249,2019-10-09,Connecticut Sun,-125,90,Washington Mystics,100,86
2250,2019-10-06,Connecticut Sun,-159,81,Washington Mystics,131,94
2251,2019-10-02,Washington Mystics,-400,87,Connecticut Sun,293,99
2252,2019-09-29,Washington Mystics,-400,95,Connecticut Sun,294,86
2253,2019-09-25,Las Vegas Aces,152,90,Washington Mystics,-192,94
2254,2019-09-23,Los Angeles Sparks,-256,56,Connecticut Sun,204,78
